,PATTERN,RECODING2,TOTAL_OCCURRENCES
2785,bargaining monopoly,ECONOMICS,14
2786,behav prices,ECONOMICS,14
2787,behavior income shar,ECONOMICS,14
2788,bis,DK,14
2789,black hole tariffs e,ECONOMICS,14
2790,brit j psychol,PSYCHOLOGY,14
2791,brookings model some,ECONOMICS,14
2792,business cycles us,ECONOMICS,14
2793,c political ec hist,ECONOMICS,14
2794,canadian j ec pol sc,POLSCIENCE,14
2795,canadian j econ,ECONOMICS,14
2796,cen,DK,14
2797,cent,DK,14
2798,cep,DK,14
2799,child youth serv rev,PUBLIC POL,14
2800,climatic change,SOCIOLOGY,14
2801,cmsems nw u,ECONOMICS,14
2802,cointegration error,STATISTICS,14
2803,col u dep ec dis,ECONOMICS,14
2804,comput stat data an,STATISTICS,14
2805,concentrated corpora,BUSINESS,14
2806,corporate control bu,BUSINESS,14
2807,corporate debt capac,BUSINESS,14
2808,corporate finance fi,FINANCE,14
2809,corruption study pol,POLSCIENCE,14
2810,cost beh pric pol,ECONOMICS,14
2811,cost benefit analysi,ECONOMICS,14
2812,ctr ec pol,ECONOMICS,14
2813,default renegotiatio,ECONOMICS,14
2814,design expt,DK,14
2815,dict political ec,ECONOMICS,14
2816,disaster insurance p,FINANCE,14
2817,dynamic equipment po,DK,14
2818,ec dynamics,ECONOMICS,14
2819,ec hist britain 1700,ECONOMICS,14
2820,ec ind,ECONOMICS,14
2821,ec labor force parti,ECONOMICS,14
2822,ec missing markets i,ECONOMICS,14
2823,ec policy technologi,ECONOMICS,14
2824,ec progr private val,ECONOMICS,14
2825,ec stat,ECONOMICS,14
2826,ec theory agrarian i,ECONOMICS,14
2827,economic and political weekly,ECONOMICS,14
2828,economic forecasts e,ECONOMICS,14
2829,effect social securi,HEALTH,14
2830,effects social secur,HEALTH,14
2831,efficiency govt syst,ECONOMICS,14
2832,elements economie po,ECONOMICS,14
2833,empirica,ECONOMICS,14
2834,empirical examinatio,STATISTICS,14
2835,equality educational,EDUCATION,14
2836,essays mathematical,MATHEMATICS,14
2837,essays modern ec,ECONOMICS,14
2838,essays moral politic,POLSCIENCE,14
2839,ethics competition,DK,14
2840,exchange rate theory,FINANCE,14
2841,exploring limits boo,STATISTICS,14
2842,f measurement,STATISTICS,14
2843,factors affecting us,DK,14
2844,fed res bank bos,STATISTICAL DATA,14
2845,fed res bank kans ci,STATISTICAL DATA,14
2846,financial anal j sep,FINANCE,14
2847,financial deepening,ECONOMICS,14
2848,flat tax,ECONOMICS,14
2849,forward exchange spe,FINANCE,14
2850,frontiers quantita a,DK,14
2851,functional equations,MATHEMATICS,14
2852,game theory social s,ECONOMICS,14
2853,generating inequalit,ECONOMICS,14
2854,giornale degli ec ri,ECONOMICS,14
2855,great transformation,ECONOMICS,14
2856,guns germs steel fat,SOCIOLOGY,14
2857,harv u,DK,14
2858,hbk econ,ECONOMICS,14
2859,hdb env ec,ECONOMICS,14
2860,home foreign investm,ECONOMICS,14
2861,hoov i work pa,PUBLIC POL,14
2862,hot rest empl int ba,ECONOMICS,14
2863,housing income,FINANCE,14
2864,hunger public action,PUBLIC POL,14
2865,i investor,FINANCE,14
2866,impact union,POLSCIENCE,14
2867,in press ec inquiry,ECONOMICS,14
2868,in press j european,ECONOMICS,14
2869,in press j int money,FINANCE,14
2870,income wealth,ECONOMICS,14
2871,industrial market st,ECONOMICS,14
2872,inequality reassessm,ECONOMICS,14
2873,int economic papers,ECONOMICS,14
2874,int food pol res,AGRICULTURE,14
2875,int trade resource a,ECONOMICS,14
2876,intrinsic motivation,PSYCHOLOGY,14
2877,intro theory stat,STATISTICS,14
2878,introduction multiva,MATHEMATICS,14
2879,investigacion econom,BUSINESS,14
2880,j accounting res spr,BUSINESS,14
2881,j res crime delinq,SOCIOLOGY,14
2882,jpn econ rev,ECONOMICS,14
2883,komunist,POLSCIENCE,14
2884,latin am fell,MATHEMATICS,14
2885,lecture notes math,MATHEMATICS,14
2886,limited dependent qu,DK,14
2887,limits rational expe,ECONOMICS,14
2888,linear regression an,STATISTICS,14
2889,lloyds bank annu rev,BUSINESS,14
2890,lond sch,DK,14
2891,managerial ec,ECONOMICS,14
2892,manual industrial pr,BUSINESS,14
2893,math derivative secu,FINANCE,14
2894,measurement interpre,DK,14
2895,med decis making,HEALTH,14
2896,mercantilism,ECONOMICS,14
2897,michigan business st,BUSINESS,14
2898,min yb,DK,14
2899,mmwr-morbid mortal w,HEALTH,14
2900,models strategic cho,ECONOMICS,14
2901,monetary policy comp,ECONOMICS,14
2902,monetary theory infl,ECONOMICS,14
2903,money growth methodo,ECONOMICS,14
2904,money market,ECONOMICS,14
2905,monthl b stat,STATISTICAL DATA,14
2906,monthly labor re aug,STATISTICAL DATA,14
2907,moodys industrial ma,BUSINESS,14
2908,n s trade employment,ECONOMICS,14
2909,nash equilibrium wel,ECONOMICS,14
2910,national income its,ECONOMICS,14
2911,national wealth us p,ECONOMICS,14
2912,natl income outlay,ECONOMICS,14
2913,natural resources ec,ECONOMICS,14
2914,nber studies busines,BUSINESS,14
2915,new economics,ECONOMICS,14
2916,new ind state,ECONOMICS,14
2917,new transatlantic ec,ECONOMICS,14
2918,new york rev books,DK,14
2919,new york u,DK,14
2920,nonparametric unpub,STATISTICS,14
2921,numer math,MATHEMATICS,14
2922,optimal pricing infl,ECONOMICS,14
2923,outline sci politica,POLSCIENCE,14
2924,oxford b ec statisti,ECONOMICS,14
2925,oxford rev ec policy,ECONOMICS,14
2926,p naic,BUSINESS,14
2927,papers regional sci,URBAN STUDIES,14
2928,perspectives public,PUBLIC POL,14
2929,philos t r soc a,PHILOSOPHY,14
2930,picoeconomics,ECONOMICS,14
2931,policy implications,PUBLIC POL,14
2932,political cycles mac,POLSCIENCE,14
2933,pr6,DK,14
2934,predictability stock,FINANCE,14
2935,price discrimination,ECONOMICS,14
2936,productivity growth,ECONOMICS,14
2937,q publications am st,STATISTICS,14
2938,quarterly journal of economics,ECONOMICS,14
2939,real wages manufactu,STATISTICAL DATA,14
2940,rep ind comm,DK,14
2941,rev dev econ,ECONOMICS,14
2942,roundtable ser behav,DK,14
2943,sankhya ser a,STATISTICS,14
2944,soc serv rev,SOCIOLOGY,14
2945,social choice welfar,ECONOMICS,14
2946,sociological methodo,SOCIOLOGY,14
2947,sov math dokl,MATHEMATICS,14
2948,soviet national inco,ECONOMICS,14
2949,staff papers,DK,14
2950,stat confluence anal,STATISTICS,14
2951,stat laws demand sup,ECONOMICS,14
2952,stat neerl,STATISTICAL DATA,14
2953,statistical decision,STATISTICS,14
2954,strategy structure,DK,14
2955,strategy structure c,DK,14
2956,structure scientific,DK,14
2957,studies nonlinear es,STATISTICS,14
2958,tax revision compend,ECONOMICS,14
2959,theorie math valeur,MATHEMATICS,14
2960,theory demand real m,ECONOMICS,14
2961,theory forward excha,FINANCE,14
2962,theory probability i,STATISTICS,14
2963,thesis harvard,DK,14
2964,tims studies managem,BUSINESS,14
2965,transportation,URBAN STUDIES,14
2966,trends cycles ec act,ECONOMICS,14
2967,u minn disc pap,DK,14
2968,u w ont dep ec,ECONOMICS,14
2969,unpub european ec re,ECONOMICS,14
2970,unpub informational,DK,14
2971,unpub monopolistic c,ECONOMICS,14
2972,unpub nash equilibri,ECONOMICS,14
2973,western polit quart,POLSCIENCE,14
2974,who bears tax burden,ECONOMICS,14
2975,who benefits state l,ECONOMICS,14
2976,workers their wages,ECONOMICS,14
2977,yb usda,AGRICULTURE,14
2978,adv game theory,ECONOMICS,13
2979,agenda progr taxatio,ECONOMICS,13
2980,am ass street el rai,BUSINESS,13
2981,am capacity consume,ECONOMICS,13
2982,am cer soc t,GENERAL-SCIENTIFIC,13
2983,am ec hist,ECONOMICS,13
2984,am econ rev p,ECONOMICS,13
2985,am j psychiat,PSYCHOLOGY,13
2986,am j transplant,HEALTH,13
2987,am machinist,BUSINESS,13
2988,am needs resources,DK,13
2989,analytical methods b,DK,13
2990,ann hum biol,NATURAL SCIENCES,13
2991,ann m am ec ass h,ECONOMICS,13
2992,ann ny acad sci,GENERAL-SCIENTIFIC,13
2993,ann rep secr treas,STATISTICAL DATA,13
2994,antitrust regulation,LAW,13
2995,applied econometrics,ECONOMICS,13
2996,applied regression a,STATISTICS,13
2997,arch pediat adol med,HEALTH,13
2998,atmos environ,NATURAL SCIENCES,13
2999,bank can,ECONOMICS,13
3000,bank finland monthly,FINANCE,13
3001,bell j ECONOMICSaut,ECONOMICS,13
3002,big enterprise compe,BUSINESS,13
3003,board governors fede,ECONOMICS,13
3004,brit ec growth 1856,STATISTICAL DATA,13
3005,brit j sociol,SOCIOLOGY,13
3006,brookingswharton pap,DK,13
3007,c res business finan,FINANCE,13
3008,cambridge ec hist eu,ECONOMICS,13
3009,comm ec dev suppl,ECONOMICS,13
3010,consumer instalment,ECONOMICS,13
3011,continuous martingal,STATISTICS,13
3012,corporate cash balan,BUSINESS,13
3013,crime justice,SOCIOLOGY,13
3014,delta,DK,13
3015,dev change,DK,13
3016,differential integra,MATHEMATICS,13
3017,directors myth reali,BUSINESS,13
3018,discrete choice meth,STATISTICS,13
3019,discussion paper ser,DK,13
3020,ec advertising,ECONOMICS,13
3021,ec hist england,ECONOMICS,13
3022,ec impact patent sys,ECONOMICS,13
3023,ec interdependence f,ECONOMICS,13
3024,ec outl,ECONOMICS,13
3025,ec principles,ECONOMICS,13
3026,ec risk time,ECONOMICS,13
3027,ec studies,ECONOMICS,13
3028,ec theory in press,ECONOMICS,13
3029,ec voice,MEDIA,13
3030,econ hist rev-first,ECONOMICS,13
3031,economic backwardnes,ECONOMICS,13
3032,economic effects of fundamental tax reform,ECONOMICS,13
3033,economic theory soci,ECONOMICS,13
3034,ed ec,ECONOMICS,13
3035,ekonomista,ECONOMICS,13
3036,equilibrium credit r,ECONOMICS,13
3037,essays biography,DK,13
3038,essays ec,ECONOMICS,13
3039,essentials ec theory,ECONOMICS,13
3040,estudios ec,ECONOMICS,13
3041,eur financ manag,FINANCE,13
3042,evaluating labor mar,ECONOMICS,13
3043,evaluation econometr,ECONOMICS,13
3044,fam law quart,LAW,13
3045,fed register,DK,13
3046,federal tax policy e,ECONOMICS,13
3047,financial constraint,ECONOMICS,13
3048,financial risk theor,FINANCE,13
3049,financial theory cor,FINANCE,13
3050,fix repr tang wealth,BUSINESS,13
3051,free trade areas us,ECONOMICS,13
3052,gender family issues,SOCIOLOGY,13
3053,guidelines informal,DK,13
3054,guidelines project e,DK,13
3055,hdb dev ec a,ECONOMICS,13
3056,hdb math psychol,PSYCHOLOGY,13
3057,impact collective ba,ECONOMICS,13
3058,imperial germany ind,BUSINESS,13
3059,in press j accountin,BUSINESS,13
3060,in press j banking f,FINANCE,13
3061,in press j ind ec,ECONOMICS,13
3062,in press oxford b ec,ECONOMICS,13
3063,income wealth series,ECONOMICS,13
3064,ind democracy,POLSCIENCE,13
3065,ind production behav,BUSINESS,13
3066,inflation employment,ECONOMICS,13
3067,information investme,DK,13
3068,int comp prices outp,ECONOMICS,13
3069,int comparison facto,ECONOMICS,13
3070,int finance trade,FINANCE,13
3071,int trade money,ECONOMICS,13
3072,int trade trade poli,ECONOMICS,13
3073,intro stochastic con,STATISTICS,13
3074,intro theory interes,ECONOMICS,13
3075,investigations curre,DK,13
3076,investment demand us,ECONOMICS,13
3077,investments capacity,ECONOMICS,13
3078,j advertising res,COMMUNICATION,13
3079,j agr econ,ECONOMICS,13
3080,j consult clin psych,HEALTH,13
3081,j epidemiol commun h,HEALTH,13
3082,j hopkins u studies,DK,13
3083,j ind eng,BUSINESS,13
3084,j labor ec,ECONOMICS,13
3085,j officiel,LAW,13
3086,j pol econ,ECONOMICS,13
3087,j political econom s,ECONOMICS,13
3088,j royal stat soc b,STATISTICS,13
3089,j soc policy,SOCIOLOGY,13
3090,j socioeconomics,SOCIOLOGY,13
3091,journal of behavioral decision making,PSYCHOLOGY,13
3092,labor force changing,ECONOMICS,13
3093,lect notes comput sc,COMPUTER,13
3094,lect public ec,ECONOMICS,13
3095,lectures microeconom,ECONOMICS,13
3096,legal fdn capitalism,LAW,13
3097,limit theorems stoch,STATISTICS,13
3098,lombard street,DK,13
3099,long run ec relation,ECONOMICS,13
3100,long term factors am,DK,13
3101,m bus ec stat,BUSINESS,13
3102,management corporate,BUSINESS,13
3103,math models ec,ECONOMICS,13
3104,mathematical psychic,PSYCHOLOGY,13
3105,matrix anal,MATHEMATICS,13
3106,microECONOMICSbanki,ECONOMICS,13
3107,milbank meml fund q,HEALTH,13
3108,modern factor analys,STATISTICS,13
3109,mon rev,DK,13
3110,monetary theory poli,ECONOMICS,13
3111,monographs stat appl,STATISTICS,13
3112,monthly labor re oct,STATISTICAL DATA,13
3113,nat bur ec res o,ECONOMICS,13
3114,nat rev neurosci,HEALTH,13
3115,natl i ec rev,ECONOMICS,13
3116,nber technical worki,ECONOMICS,13
3117,new challenges monet,ECONOMICS,13
3118,new york u law rev,LAW,13
3119,nonparametric estima,STATISTICS,13
3120,omega-int j manage s,BUSINESS,13
3121,operations research,BUSINESS,13
3122,oxford econ papers,ECONOMICS,13
3123,p roy soc edinb,DK,13
3124,paying for productivity,ECONOMICS,13
3125,philos t roy soc b,PHILOSOPHY,13
3126,popul index,DEMOGRAPHY,13
3127,port econ j,ECONOMICS,13
3128,poverty discriminati,SOCIOLOGY,13
3129,press,DK,13
3130,price index,STATISTICAL DATA,13
3131,price level measurem,ECONOMICS,13
3132,pricing distribution,FINANCE,13
3133,principals agents st,ECONOMICS,13
3134,principles public fi,ECONOMICS,13
3135,privatizing russia,ECONOMICS,13
3136,privatizing social s,HEALTH,13
3137,product equilibrium,ECONOMICS,13
3138,progr underdeveloped,ECONOMICS,13
3139,public expenditures,PUBLIC POL,13
3140,rate interest other,DK,13
3141,rational foundations of economic behaviour,ECONOMICS,13
3142,res organ behav,SOCIOLOGY,13
3143,reserve banks money,ECONOMICS,13
3144,rev black political,ECONOMICS,13
3145,rev ec dynamics,ECONOMICS,13
3146,rev ec politique may,ECONOMICS,13
3147,rev econ des,ECONOMICS,13
3148,rev econ household,ECONOMICS,13
3149,rev econ s,ECONOMICS,13
3150,rev financial ec,ECONOMICS,13
3151,rev int stat i,STATISTICS,13
3152,scandinavian actuari,FINANCE,13
3153,sci soc,SOCIOLOGY,13
3154,scope method politic,DK,13
3155,sloan sch man,DK,13
3156,so j business,BUSINESS,13
3157,soc networks,SOCIOLOGY,13
3158,social network anal,SOCIOLOGY,13
3159,socioeconomic succes,SOCIOLOGY,13
3160,spectral analysis ec,ECONOMICS,13
3161,stanf u,DK,13
3162,stanf u tech,GENERAL-SCIENTIFIC,13
3163,stat decision theory,STATISTICS,13
3164,stochastic volatilit,STATISTICS,13
3165,strategic asset allo,ECONOMICS,13
3166,structure social act,SOCIOLOGY,13
3167,synthetic ec,ECONOMICS,13
3168,targets indicators m,DK,13
3169,technol forecast soc,DK,13
3170,theorie produktion,ECONOMICS,13
3171,theorie wirtschaftli,ECONOMICS,13
3172,theory application g,DK,13
3173,theory env policy,NATURAL SCIENCES,13
3174,theory experience ec,ECONOMICS,13
3175,theory int prices,ECONOMICS,13
3176,theory microeconomic,ECONOMICS,13
3177,thesis carnegie i te,DK,13
3178,thesis harvard u cam,DK,13
3179,thesis state u new y,DK,13
3180,thesis u pittsburgh,DK,13
3181,time cross ec am neg,ECONOMICS,13
3182,total positivity,ECONOMICS,13
3183,trimestre economico,ECONOMICS,13
3184,u california publica,DK,13
3185,u chic grad sch,DK,13
3186,u iow work pap,DK,13
3187,u oxf dep ec,ECONOMICS,13
3188,u penns disc pap,DK,13
3189,u roch work pap,DK,13
3190,u south disc pa,DK,13
3191,u tor i pol an,POLSCIENCE,13
3192,unbound prometheus,ECONOMICS,13
3193,uncertainty microeco,ECONOMICS,13
3194,unpub asymmetric inf,ECONOMICS,13
3195,unpub ec j,ECONOMICS,13
3196,unpub efficient esti,ECONOMICS,13
3197,unpub general equili,ECONOMICS,13
3198,unpub j monetary ec,ECONOMICS,13
3199,unpub rational expec,ECONOMICS,13
3200,unpub theory learnin,EDUCATION,13
3201,urban underclass,SOCIOLOGY,13
3202,us bur lab stat b,STATISTICAL DATA,13
3203,us tar comm,ECONOMICS,13
3204,village household ec,ECONOMICS,13
3205,wages hours employme,ECONOMICS,13
3206,water resource devel,NATURAL SCIENCES,13
3207,wheat studies food r,AGRICULTURE,13
3208,workplace ind relati,BUSINESS,13
3209,world c,DK,13
3210,world ec hist stat,ECONOMICS,13
3211,199,DK,12
3212,3rd p berk s math st,MATHEMATICS,12
3213,adaptation level the,PSYCHOLOGY,12
3214,adapted mind evoluti,PSYCHOLOGY,12
3215,adm behavior,POLSCIENCE,12
3216,adv exp soc psychol,PSYCHOLOGY,12
3217,adv statistical meth,STATISTICS,12
3218,allgemeines stat arc,STATISTICAL DATA,12
3219,am apartheid segrega,HISTORY,12
3220,am capitalism,ECONOMICS,12
3221,am ec j mac in press,ECONOMICS,12
3222,am inequality macroe,ECONOMICS,12
3223,anal binary data,STATISTICS,12
3224,anal quit rate am ma,DK,12
3225,ann linsee,STATISTICAL DATA,12
3226,ann wb conf dev econ,ECONOMICS,12
3227,annu rev publ health,HEALTH,12
3228,applied ec,ECONOMICS,12
3229,applied ec forecasti,ECONOMICS,12
3230,applied general equi,ECONOMICS,12
3231,austr j management,BUSINESS,12
3232,b oxford u i econ st,ECONOMICS,12
3233,b us dep lab,STATISTICAL DATA,12
3234,banca nazl lavoro q,ECONOMICS,12
3235,banking early stages,FINANCE,12
3236,banks finance invest,FINANCE,12
3237,bargaining theory ap,ECONOMICS,12
3238,basing point system,FINANCE,12
3239,beitrage geldtheorie,ECONOMICS,12
3240,big business new era,BUSINESS,12
3241,blueprints exchange,DK,12
3242,brit j philos sci,PHILOSOPHY,12
3243,bur lab stat work,STATISTICAL DATA,12
3244,business cycle theor,ECONOMICS,12
3245,calculus consent log,POLSCIENCE,12
3246,capital accumulation,ECONOMICS,12
3247,capital budgeting,BUSINESS,12
3248,capital formation re,ECONOMICS,12
3249,capital interest,ECONOMICS,12
3250,capital structure de,ECONOMICS,12
3251,cens agr,DEMOGRAPHY,12
3252,cens pop hous,DEMOGRAPHY,12
3253,char stat plans afdc,DK,12
3254,china econ rev,ECONOMICS,12
3255,cointegration causal,STATISTICS,12
3256,collective decision,SOCIOLOGY,12
3257,commodity flow capit,FINANCE,12
3258,commun stat theory,STATISTICS,12
3259,comp productivity br,ECONOMICS,12
3260,conflict manag peace,POLSCIENCE,12
3261,consumer expenditure,ECONOMICS,12
3262,contributions theore,DK,12
3263,coordination games c,ECONOMICS,12
3264,corn u ctr an e,ECONOMICS,12
3265,corporate dividend p,BUSINESS,12
3266,cowl comm disc p,ECONOMICS,12
3267,curr wag dev,ECONOMICS,12
3268,decision theory soci,SOCIOLOGY,12
3269,decisions ec finance,FINANCE,12
3270,decisions multiple o,ECONOMICS,12
3271,dem yb,DEMOGRAPHY,12
3272,demand hlth theoreti,ECONOMICS,12
3273,dep empl res pap,ECONOMICS,12
3274,dev ec,ECONOMICS,12
3275,dev inflationary wor,ECONOMICS,12
3276,did monetary forces,ECONOMICS,12
3277,distributed lags pro,DK,12
3278,dynamic forces capit,ECONOMICS,12
3279,dynamic noncooperati,ECONOMICS,12
3280,dynamics business cy,ECONOMICS,12
3281,e as mir ec growth p,ECONOMICS,12
3282,ebb flow trade union,SOCIOLOGY,12
3283,ec arts selected ess,ECONOMICS,12
3284,ec inform uncertaint,ECONOMICS,12
3285,ec intro anal,ECONOMICS,12
3286,ec labor,ECONOMICS,12
3287,ec man feminist theo,ECONOMICS,12
3288,ec overhead costs,ECONOMICS,12
3289,ec price wage contro,ECONOMICS,12
3290,ec soc,DK,12
3291,ec theory cities,URBAN STUDIES,12
3292,ec women men work,ECONOMICS,12
3293,econometric evaluati,ECONOMICS,12
3294,efficiency wage mode,ECONOMICS,12
3295,ekonomika matematich,ECONOMICS,12
3296,equilibrium theory a,ECONOMICS,12
3297,erkenntnis,PHILOSOPHY,12
3298,essays modern econom,ECONOMICS,12
3299,ethol sociobiol,SOCIOLOGY,12
3300,exchange rate target,ECONOMICS,12
3301,fed res bank chi,STATISTICAL DATA,12
3302,fed res bank phi,STATISTICAL DATA,12
3303,federal reserve  fal,STATISTICAL DATA,12
3304,federal reserve oper,STATISTICAL DATA,12
3305,federal tax policy c,ECONOMICS,12
3306,fertility family pla,PUBLIC POL,12
3307,financial manage sum,BUSINESS,12
3308,finanztheoretische u,FINANCE,12
3309,food and nutrition bulletin,HEALTH,12
3310,forecasting business,BUSINESS,12
3311,fragmentation new pr,DK,12
3312,freedom world,DK,12
3313,gastroenterology,HEALTH,12
3314,gen competitive anal,ECONOMICS,12
3315,gen equilibrium grow,ECONOMICS,12
3316,gen equilibrium theo,ECONOMICS,12
3317,guardian,MEDIA,12
3318,harv i ec res dis,ECONOMICS,12
3319,hdb ec finance b,FINANCE,12
3320,hdb econometrics a,ECONOMICS,12
3321,hdb hlth ec a,ECONOMICS,12
3322,hdb modern finance,FINANCE,12
3323,hdb social choice we,ECONOMICS,12
3324,hist banking theory,FINANCE,12
3325,hist greenbacks,HISTORY,12
3326,hlth affairs,HEALTH,12
3327,horizontal equity un,ECONOMICS,12
3328,human behav principl,PSYCHOLOGY,12
3329,human inference stra,PSYCHOLOGY,12
3330,human judgments opti,PSYCHOLOGY,12
3331,in press brookings p,ECONOMICS,12
3332,in press int j game,ECONOMICS,12
3333,in press j appl econ,ECONOMICS,12
3334,in press j ec ed,ECONOMICS,12
3335,in press management,BUSINESS,12
